Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class,amount_category,amount_zscore,anomaly_flag,high_amount_flag,velocity_flag,risk_score,is_fraud_detected
103,-6.09324780457494,-12.1142127363483,-5.69497318304808,3.29438945633196,-1.41379209198987,4.77600042454058,4.80842581669219,-0.228197008316221,-0.525895940525179,-1.72489902822119,-0.362818000903783,0.28615530050452,0.487835785527501,1.2599571205769,0.660404704229974,0.455263193477443,-0.497643848526374,0.792268766322312,-0.978442216379243,7.74422243482949,2.22882259543164,-2.26403733889794,-3.55338061765328,1.21527882183022,-0.406072898984334,-0.653384490244203,-0.711222163007979,0.672899853277743,3828.04,0,high,19.0623791644477,1,1,0,0.6,1
1077,-3.93679406923572,-3.67051900264911,-1.45382049984702,2.29974999413165,-9.74943958984199,6.45641046157446,10.7840876548481,-2.16001589150776,-0.238116043084373,-1.0043984469861,-0.318436576174975,-1.98143510685022,-0.876498835758804,-1.09570880084773,1.13210316063153,1.64344008765784,-0.853989691681442,-0.165444597338851,-0.810784648400554,-2.20367559311281,-0.979104300834913,0.957186171803303,2.44195981198265,0.25060715954121,0.300907905061542,1.15786694354058,1.62428423734445,-1.63864721472208,2452.03,0,high,12.094164655758473,1,1,0,0.6,1
1264,-11.1407063576909,-9.61272620240172,-12.3895452301042,6.01334629438785,-32.0921290046357,21.3930687572539,34.3031768568354,-7.52078427232218,-1.92573155075258,-2.6366220672382,3.70217662877301,-1.84305631781059,2.42712334388741,-1.65283565614104,3.6350415165055,4.08780179147029,-1.65489200469565,-0.888406460757788,0.752276373107714,-11.7486890255326,-4.70997725083696,1.36610996920493,-2.92588754249629,0.843550804290263,0.746267437970709,0.801386918563331,3.85204563850736,4.15793357268519,7712.43,0,very_high,38.73321204749896,1,1,1,0.8,1
1698,-5.84922564416002,-11.7549746404265,-3.33330345306122,3.67324616587364,-4.45958258804588,0.659097719852949,4.52722420458362,-0.985511915094925,0.237793552172919,-1.85422970191431,-0.644609057763167,0.123529986802149,0.0121595717817971,0.853693619007229,0.960689195701432,0.615010800694935,-0.0563340997525921,0.515516316330569,-1.21243882480469,7.31434712853113,2.16087031378523,-1.99217897133812,-3.24035064349017,0.609618674310753,-0.985547582566371,0.0896930989862988,-0.713354715616819,0.653060493900881,3669.0,0,high,18.256989061569136,1,1,0,0.6,1
2019,-3.68748123555734,-8.74663545957587,-2.05788513112004,1.85893588121018,-3.35300399160706,1.58054227591055,2.3991139882717,-0.318629762755785,-1.04574996361264,-0.458157756125483,1.37324172018392,0.982003713469976,0.610655845321144,0.573200417950119,0.402425055141044,-1.46411381776632,0.444155492328064,1.13780924114971,-2.05380523804389,4.5969302145147,1.23019255262232,-1.57327435141859,-2.12235068572953,-0.141324937331246,-0.838373395154145,0.25114832808841,-0.440546702908528,0.445717058294886,2540.42,0,high,12.541778030968711,1,1,0,0.6,1
2151,-2.5749401283511,-2.66933088553344,-3.08013329616292,2.04355113970881,-11.4168805561155,7.88572053749213,12.2192488525217,-1.82820876607041,-1.47592546659756,-1.96580320487643,0.789084996726318,-0.160785874169759,1.93411092914164,-0.228977399941903,1.69802987779323,1.4279547617381,-1.21945885066314,1.55875842373353,1.64327483513256,0.828356513101349,-0.115579637708008,0.264090052028256,2.21973880996696,-0.771130641182252,0.145438489426547,-0.240516592973557,1.18044073834862,-0.623650941414615,2909.97,0,high,14.41320605233927,1,1,0,0.6,1
8544,-6.57133605826113,-11.9438919789798,-4.24632180782397,6.8258164122524,-2.89662355855933,2.70666084649083,5.37392322775258,-0.872186835826038,-0.626203331212906,-0.955355835055368,0.951596284774743,-2.13605516648786,2.35262496745595,2.66986805819472,-1.41291682822606,1.2339898407678,0.0388832222982374,0.915151281152245,-2.34841367007089,7.92214091444184,2.220492527349,-2.39509751550507,-3.7313906943556,-1.01576139492928,-0.74082391847181,-0.297883452890676,-0.79371041692163,0.680622304985665,4002.88,0,high,23.107597837053913,1,1,0,0.6,1
10516,-4.04389329729297,-9.46036591686046,-2.17958123303194,1.86838487566167,-3.4970193962602,1.78917021583408,2.46522612093401,-0.459007646468069,0.556874339635617,-1.15277966159542,2.37881412789119,-1.54991343524127,2.52913274248272,1.42866443592616,-1.53394314741626,0.369543727149355,1.88918118400534,-1.14920390391553,-0.607915792116702,5.55076003025472,1.81797370567709,-0.455298754822174,-2.53830077360318,-0.106817543056911,-0.462828257571016,-0.276423767410579,-0.477587327742283,0.467107136572773,2746.34,0,high,15.739311653140149,1,1,0,0.6,1
10538,-6.4872859093908,-13.6304494248752,-3.19073525985381,2.89087873490709,-5.115534623706,2.39387288050469,3.75979062122559,-0.587387159225236,0.81689046575501,-1.73939877444309,2.19602677203618,-2.19129686944795,1.38398643429169,1.85272948187258,-1.0120093585686,0.882773054545658,1.90504000593044,-0.754152484646696,-0.990436231749779,8.01257442855485,2.36446516402321,-1.83556732732474,-3.43592137176239,-0.125620824753878,-1.31101141537512,-0.663525507769039,-0.702355887024033,0.694099691391451,3995.92,0,high,23.06678475363433,1,1,0,0.6,1
14432,-2.25032398455975,-1.87567000543734,-2.15734197866373,1.27206342503251,-6.40555094651597,10.0339228565506,8.57171747235848,-0.505110229920401,1.34439474484201,-2.03488535652892,0.107396013897017,-2.98704267047583,1.59818075809249,0.360475485729736,-1.78775886057096,-0.2975028010608,0.675268503542377,0.380932275514563,1.59853339505243,0.719117588602371,-0.763582111374326,-1.0032337557371,1.50347935862999,0.982840566836894,0.481953840235814,-0.425330025570351,0.951125986198189,-0.565672381645483,2126.13,0,high,12.102431988246746,1,1,0,0.6,1
